****************Caso 1 MLFQ****************
14: 5824 OPW100T, 5824 OPR100T
14: 6208 OPW100T, 6208 OPR100T
14: 6784 OPW100T, 6784 OPR100T
14: 7040 OPW100T, 7040 OPR100T
14: 6912 OPW100T, 6912 OPR100T
14: 6976 OPW100T, 6976 OPR100T
14: 7040 OPW100T, 7040 OPR100T
14: 7168 OPW100T, 7168 OPR100T
14: 6912 OPW100T, 6912 OPR100T
14: 7040 OPW100T, 7040 OPR100T
14: 6912 OPW100T, 6912 OPR100T
14: 7040 OPW100T, 7040 OPR100T
14: 7040 OPW100T, 7040 OPR100T
14: 6976 OPW100T, 6976 OPR100T
14: 7104 OPW100T, 7104 OPR100T
14: 7104 OPW100T, 7104 OPR100T
14: 7040 OPW100T, 7040 OPR100T
14: 6784 OPW100T, 6784 OPR100T
14: 7104 OPW100T, 7104 OPR100T
Termino iobench 14: total ops 262016u -->       PID: 14, Priority: 2, Scheduler Count: 434672, Last Execution: 10048
